"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl";"lca_tax_greengenes";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"700489";"1";"16S_rRNA::scf7180000017418.513682:399492-401034(-)_PAT_16s_all_";"None";"0.945472";"118";"4";"13";"89.6114";"94";"1002";"43282";"3";"1542";"1541";"none";"None";"None";"None";"None";"Bacteria;Acidobacteria;Subgroup 26;"
"700489";"2";"16S_rRNA::scf7180000020227.146740:55897-57438(-)_PAT_16s_all_";"None";"0.989686";"120";"4";"12";"94.2269";"98";"1002";"43281";"3";"1541";"1541";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;"
"700489";"3";"16S_rRNA::scf7180000017258.4699109:727775-729312(+)_PAT_16s_all_";"None";"0.986355";"122";"3";"13";"94.5406";"98";"1003";"43282";"4";"1537";"1536";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;"
"700489";"4";"16S_rRNA::scf7180000017255.2650019:67464-68999(+)_PAT_16s_all_";"None";"0.968333";"121";"3";"13";"91.3506";"96";"1003";"43282";"4";"1535";"1534";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;"
"700489";"5";"16S_rRNA::scf7180000019011.146318:127694-129187(-)_PAT_16s_all_";"None";"0.993397";"122";"3";"13";"94.9713";"99";"1003";"43282";"4";"1493";"1492";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira;"
"700489";"6";"16S_rRNA::scf7180000020317.110738:23851-25344(+)_PAT_16s_all_";"None";"0.997717";"122";"3";"13";"97.3288";"99";"1003";"43282";"4";"1493";"1492";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;"
"700489";"7";"16S_rRNA::scf7180000018743.206017:40704-42236(-)_PAT_16s_all_";"None";"0.990824";"121";"3";"12";"95.8724";"99";"1003";"43281";"4";"1532";"1532";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;"
"700489";"8";"16S_rRNA::scf7180000019001.195442:10345-11844(+)_PAT_16s_all_";"None";"0.982274";"122";"4";"13";"91.9454";"98";"1002";"43282";"3";"1499";"1498";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;"
"700489";"9";"16S_rRNA::scf7180000017286.2031579:1952951-1954433(+)_PAT_16s_all_";"None";"0.996399";"121";"3";"13";"98.2558";"99";"1003";"43282";"4";"1482";"1481";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia;"
"700489";"10";"16S_rRNA::scf7180000017264.2124445:1205714-1207254(+)_PAT_16s_all_";"None";"0.9734";"119";"5";"12";"92.1311";"97";"1001";"43286";"2";"1540";"1535";"none";"None";"None";"None";"None";"Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;"
"700489";"11";"16S_rRNA::scf7180000017253.3096896:374132-375723(+)_PAT_16s_all_";"None";"0.982673";"115";"5";"28";"90.3922";"98";"1001";"43270";"2";"1591";"1591";"none";"None";"None";"None";"None";"Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;"
"700489";"12";"16S_rRNA::scf7180000017312.1162547:948446-950001(-)_PAT_16s_all_";"None";"0.956144";"118";"4";"12";"85.6299";"95";"1002";"43281";"3";"1555";"1555";"none";"None";"None";"None";"None";"Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;"
"700489";"13";"16S_rRNA::scf7180000017252.4011077:669144-670608(+)_PAT_16s_all_";"None";"0.992898";"123";"3";"12";"94.6964";"99";"1003";"43292";"4";"1464";"1453";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"
