"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl";"lca_tax_greengenes";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"700495";"1";"16S_rRNA::NODE_21146_length_2288_cov_4.142064:264-1805(-)_S3_16s_all_";"None";"0.923902";"118";"4";"13";"99.8146";"92";"1002";"43282";"3";"1541";"1540";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;"
"700495";"2";"16S_rRNA::NODE_325_length_50199_cov_153.489555:3617-5158(+)_S3_16s_all_";"None";"0.941852";"117";"4";"12";"89.6825";"94";"1002";"43289";"3";"1541";"1533";"none";"None";"None";"None";"None";"Bacteria;Acidobacteria;Subgroup 26;"
"700495";"3";"16S_rRNA::NODE_7354_length_5456_cov_114.635954:3696-5217(-)_S3_16s_all_";"None";"0.996049";"123";"6";"11";"99.4788";"99";"1000";"43292";"1";"1521";"1510";"none";"None";"None";"None";"None";"Bacteria;Actinobacteria;Actinobacteria;PeM15;"
"700495";"4";"16S_rRNA::NODE_2923_length_12269_cov_3.141822:6074-7615(+)_S3_16s_all_";"None";"0.989327";"121";"4";"13";"92.0582";"98";"1002";"43282";"3";"1541";"1540";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;"
"700495";"5";"16S_rRNA::NODE_5577_length_6962_cov_4.869934:4059-5583(-)_S3_16s_all_";"None";"0.999501";"123";"4";"13";"100";"99";"1002";"43282";"3";"1524";"1523";"none";"None";"None";"None";"None";"Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;"
"700495";"6";"16S_rRNA::NODE_143_length_71426_cov_9.233538:26010-27490(+)_S3_16s_all_";"None";"0.999521";"122";"4";"11";"99.5925";"99";"1002";"43280";"3";"1480";"1480";"none";"None";"None";"None";"None";"Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"
"700495";"7";"16S_rRNA::NODE_25826_length_1978_cov_2.610481:315-1844(-)_S3_16s_all_";"None";"0.999446";"122";"3";"12";"99.9325";"99";"1003";"43326";"4";"1529";"1516";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia;"
"700495";"8";"16S_rRNA::NODE_2865_length_12501_cov_117.417731:4389-5871(+)_S3_16s_all_";"None";"0.996399";"121";"3";"13";"98.2558";"99";"1003";"43282";"4";"1482";"1481";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia;"
"700495";"9";"16S_rRNA::NODE_7023_length_5681_cov_13.518545:487-2025(+)_S3_16s_all_";"None";"0.999317";"122";"4";"12";"100";"99";"1002";"43281";"3";"1538";"1538";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;"
"700495";"10";"16S_rRNA::NODE_1616_length_19661_cov_15.267278:10404-11995(+)_S3_16s_all_";"None";"0.982692";"115";"5";"28";"90.3922";"98";"1001";"43270";"2";"1591";"1591";"none";"None";"None";"None";"None";"Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;"
"700495";"11";"16S_rRNA::NODE_12_length_206903_cov_21.527305:74289-75844(+)_S3_16s_all_";"None";"0.955721";"118";"4";"11";"85.6299";"95";"1002";"43350";"3";"1555";"1543";"none";"None";"None";"None";"None";"Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;"
"700495";"12";"16S_rRNA::NODE_2326_length_14700_cov_2.990050:11671-13215(+)_S3_16s_all_";"None";"0.939389";"117";"4";"12";"85.1562";"93";"1002";"43281";"3";"1544";"1544";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;"
"700495";"13";"16S_rRNA::NODE_8204_length_4964_cov_2.153401:1771-3261(-)_S3_16s_all_";"None";"0.987542";"121";"4";"11";"92.0839";"98";"1002";"43294";"3";"1490";"1478";"none";"None";"None";"None";"None";"Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;"
"700495";"14";"16S_rRNA::NODE_3636_length_10214_cov_4.318331:4763-6223(-)_S3_16s_all_";"None";"0.996852";"123";"3";"13";"95.7713";"99";"1003";"43282";"4";"1460";"1459";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"
"700495";"15";"16S_rRNA::NODE_34154_length_1615_cov_63.575269:41-1565(-)_S3_16s_all_";"None";"0.998438";"119";"4";"12";"99.8016";"99";"1002";"43294";"3";"1524";"1511";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;"
"700495";"16";"16S_rRNA::NODE_19336_length_2447_cov_1.956897:903-2432(+)_S3_16s_all_";"None";"0.996831";"118";"4";"13";"94.2173";"99";"1002";"43282";"3";"1529";"1528";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Rubripirellula;"
"700495";"17";"16S_rRNA::NODE_12601_length_3425_cov_3.530928:2163-3423(-)_S3_16s_all_";"None";"0.962411";"106";"0";"13";"89.5149";"96";"5247";"43282";"225";"1260";"1259";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;"
"700495";"18";"16S_rRNA::NODE_45053_length_1316_cov_3.163162:135-1316(-)_S3_16s_all_";"None";"0.967194";"109";"0";"12";"94.2758";"96";"6333";"43281";"337";"1181";"1181";"none";"None";"None";"None";"None";"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;"
"700495";"19";"16S_rRNA::NODE_54850_length_1126_cov_2.343343:0-985(+)_S3_16s_all_";"None";"0.929333";"110";"0";"11";"86.7284";"92";"14285";"43294";"544";"985";"973";"none";"None";"None";"None";"None";"Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;"
"700495";"20";"16S_rRNA::NODE_21638_length_2250_cov_1.427697:1152-2250(+)_S3_16s_all_";"None";"0.766329";"91";"1";"0";"68.1507";"76";"1005";"40138";"6";"1098";"1098";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;"
"700495";"21";"16S_rRNA::NODE_4202_length_9049_cov_4.424568:795-1726(+)_S3_16s_all_";"None";"0.982233";"99";"0";"5";"92.6882";"98";"21303";"43274";"662";"931";"931";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Porifera;Demospongiae;"
